Episode: 78, Total reward:-20.0, Explore P: 0.9673744310929121, loss: 1.0531051
Episode: 79, Total reward:-20.0, Explore P: 0.9665356088287878, loss: 31.93642
Episode: 80, Total reward:-20.0, Explore P: 0.9656862398966638, loss: 70.952805
Episode: 81, Total reward:-21.0, Explore P: 0.9648261061110358, loss: 11.54059
Episode: 82, Total reward:-19.0, Explore P: 0.9639570296140857, loss: 609.65533
Episode: 83, Total reward:-21.0, Explore P: 0.9630777444755275, loss: 376.4775
Episode: 84, Total reward:-21.0, Explore P: 0.9621896976434741, loss: 71.18122
Episode: 85, Total reward:-21.0, Explore P: 0.9612938395989162, loss: 86.63545
Episode: 86, Total reward:-19.0, Explore P: 0.9603892157543904, loss: 171.27731
Episode: 87, Total reward:-21.0, Explore P: 0.9594731139724789, loss: 5.200057
Episode: 88, Total reward:-19.0, Explore P: 0.9585474359996293, loss: 0.44409418
Episode: 89, Total reward:-19.0, Explore P: 0.957610088014799, loss: 4.0219584
Episode: 90, Total reward:-21.0, Explore P: 0.9566608962678038, loss: 32.234882
Episode: 91, Total reward:-20.0, Explore P: 0.9557031540307007, loss: 491.52505
Episode: 92, Total reward:-21.0, Explore P: 0.9547351144916058, loss: 32.933132
Episode: 93, Total reward:-19.0, Explore P: 0.9537594787601803, loss: 49.041283
Episode: 94, Total reward:-20.0, Explore P: 0.9527727789840277, loss: 45.20045
Episode: 95, Total reward:-21.0, Explore P: 0.9517760186200107, loss: 104.999535
Episode: 96, Total reward:-19.0, Explore P: 0.950770043857874, loss: 52.86187
Episode: 97, Total reward:-21.0, Explore P: 0.949752655258834, loss: 173.5557
Episode: 98, Total reward:-19.0, Explore P: 0.9487271727101074, loss: 47.42373
Episode: 99, Total reward:-21.0, Explore P: 0.9476900003439049, loss: 144.70584
Episode: 100, Total reward:-20.0, Explore P: 0.9466427672802474, loss: 12.5669
Episode: 101, Total reward:-20.0, Explore P: 0.9455865202019026, loss: 49.773308
Episode: 102, Total reward:-19.0, Explore P: 0.9445194719255491, loss: 1.0426041
Episode: 103, Total reward:-20.0, Explore P: 0.9434402075331747, loss: 6.6804185
Episode: 104, Total reward:-20.0, Explore P: 0.9423516160433686, loss: 18.101988
Episode: 105, Total reward:-20.0, Explore P: 0.9412535941350478, loss: 1.1552777
Episode: 106, Total reward:-21.0, Explore P: 0.940147324966961, loss: 15.021317
Episode: 107, Total reward:-20.0, Explore P: 0.9390330881755532, loss: 4.9091115
Episode: 108, Total reward:-20.0, Explore P: 0.937908849699412, loss: 21.105473
Episode: 109, Total reward:-19.0, Explore P: 0.9367754570273485, loss: 1.0536474
Episode: 110, Total reward:-20.0, Explore P: 0.9356319987798427, loss: 9.215147
Episode: 111, Total reward:-21.0, Explore P: 0.9344797387715803, loss: 44.977264
Episode: 112, Total reward:-21.0, Explore P: 0.9333206177104535, loss: 8.246091
Episode: 113, Total reward:-21.0, Explore P: 0.9321545687586762, loss: 2.3347673
Episode: 114, Total reward:-18.0, Explore P: 0.9309811020025103, loss: 1.2479317
Episode: 115, Total reward:-20.0, Explore P: 0.9297975399997622, loss: 89.60979
Episode: 116, Total reward:-21.0, Explore P: 0.928605828128581, loss: 219.51997
Episode: 117, Total reward:-20.0, Explore P: 0.9274058574310706, loss: 156.5573
Episode: 118, Total reward:-21.0, Explore P: 0.92619652035172, loss: 122.80149
Episode: 119, Total reward:-21.0, Explore P: 0.9249798512624919, loss: 38.12107
Episode: 120, Total reward:-21.0, Explore P: 0.9237556488912491, loss: 17.676224
Episode: 121, Total reward:-21.0, Explore P: 0.9225236395529415, loss: 28.27213
Episode: 122, Total reward:-20.0, Explore P: 0.9212851367219401, loss: 33.094868
Episode: 123, Total reward:-21.0, Explore P: 0.9200382482061297, loss: 83.70679
Episode: 124, Total reward:-21.0, Explore P: 0.9187836974753358, loss: 0.2801796
Episode: 125, Total reward:-21.0, Explore P: 0.9175206916388549, loss: 6.2632666
Episode: 126, Total reward:-19.0, Explore P: 0.9162499206063619, loss: 39.677666
Episode: 127, Total reward:-20.0, Explore P: 0.9149703916558477, loss: 564.507
Episode: 128, Total reward:-20.0, Explore P: 0.9136837958317251, loss: 12.611703
Episode: 129, Total reward:-21.0, Explore P: 0.9123894743035167, loss: 292.63983
Episode: 130, Total reward:-20.0, Explore P: 0.9110873893163964, loss: 22.527699
Episode: 131, Total reward:-19.0, Explore P: 0.90977714754477, loss: 40.231762
Episode: 132, Total reward:-21.0, Explore P: 0.9084586335956095, loss: 1.1112635
Episode: 133, Total reward:-21.0, Explore P: 0.9071340256270486, loss: 291.62283
Episode: 134, Total reward:-20.0, Explore P: 0.90580314308307, loss: 312.00186
Episode: 135, Total reward:-21.0, Explore P: 0.9044651875377389, loss: 9.047913
Episode: 136, Total reward:-20.0, Explore P: 0.9031202015357931, loss: 23.090063
Episode: 137, Total reward:-20.0, Explore P: 0.9017677707860933, loss: 0.13520646
Episode: 138, Total reward:-20.0, Explore P: 0.9004083166912394, loss: 144.93254
